candidate_id,job_id,role,candidate_skills,recruiter_skills,recruiter_priority_list,recruiter_skill_weights,experience_years
c001,j063,network engineer,marketing|embedded,teamwork|marketing|embedded|android,teamwork|marketing|embedded|android,"{""teamwork"": 5, ""marketing"": 4, ""embedded"": 3, ""android"": 2}",5
c104,j049,cybersecurity analyst,linux|cloud|finance,node|prototyping,node|prototyping,"{""node"": 5, ""prototyping"": 4}",6
c176,j007,mobile developer,docker|accounting,c|seo,c|seo,"{""c"": 5, ""seo"": 4}",8
c153,j122,HR coordinator,excel|teamwork|firewall|communication|crm|cloud|ios|support,finance|c|networking|ux research|docker|react,networking|docker|react|c|ux research|finance,"{""networking"": 5, ""docker"": 4, ""react"": 3, ""c"": 2, ""ux research"": 1, ""finance"": 1}",11
c172,j179,operations associate,seo|crm|ml|finance|cloud|git|node|embedded,embedded|networking|prototyping,prototyping|networking|embedded,"{""prototyping"": 5, ""networking"": 4, ""embedded"": 3}",11
c160,j096,data scientist,ux research|accounting|finance|embedded,finance|embedded|teamwork|marketing,teamwork|marketing|finance|embedded,"{""teamwork"": 5, ""marketing"": 4, ""finance"": 3, ""embedded"": 2}",10
c163,j178,data analyst,accounting|linux|ml|teamwork,ml|android,ml|android,"{""ml"": 5, ""android"": 4}",4
c166,j188,cybersecurity analyst,teamwork|networking|cloud|node|c|prototyping|ops|figma,java|linux|ml|python|finance|docker,finance|python|docker|linux|java|ml,"{""finance"": 5, ""python"": 4, ""docker"": 3, ""linux"": 2, ""java"": 1, ""ml"": 1}",2
c058,j026,data analyst,seo|sales|security|embedded,security|sales|seo,seo|sales|security,"{""seo"": 5, ""sales"": 4, ""security"": 3}",5
c088,j072,marketing analyst,android|sales|python|support|teamwork|figma|ux research|java,support|android|sales|java|seo|teamwork,sales|seo|android|teamwork|java|support,"{""sales"": 5, ""seo"": 4, ""android"": 3, ""teamwork"": 2, ""java"": 1, ""support"": 1}",2
c127,j041,HR coordinator,figma|excel|react|linux|sql|security|python|android,linux|react|security,react|linux|security,"{""react"": 5, ""linux"": 4, ""security"": 3}",0
c087,j042,HR coordinator,support|linux|sales,sales|support|linux,support|linux|sales,"{""support"": 5, ""linux"": 4, ""sales"": 3}",3
c008,j171,HR coordinator,sql|figma|ux research|excel,ml|excel,ml|excel,"{""ml"": 5, ""excel"": 4}",5
c119,j171,mobile developer,c|support|seo,c|react|networking,react|networking|c,"{""react"": 5, ""networking"": 4, ""c"": 3}",9
c194,j174,embedded engineer,embedded|ops|excel,excel|prototyping|embedded|ops,embedded|excel|ops|prototyping,"{""embedded"": 5, ""excel"": 4, ""ops"": 3, ""prototyping"": 2}",12
c144,j106,product manager,figma|sql|embedded|ux research|communication,embedded|sql|ux research,sql|ux research|embedded,"{""sql"": 5, ""ux research"": 4, ""embedded"": 3}",4
c143,j163,HR coordinator,git|prototyping|support|excel|linux|figma|c|embedded,finance|git|linux|figma,finance|git|linux|figma,"{""finance"": 5, ""git"": 4, ""linux"": 3, ""figma"": 2}",6
c140,j136,product manager,accounting|firewall|ops|seo|c|sql|ux research,sql|ux research|git|accounting,accounting|git|sql|ux research,"{""accounting"": 5, ""git"": 4, ""sql"": 3, ""ux research"": 2}",3
c010,j025,data analyst,security|marketing|android|excel|communication,node|prototyping,node|prototyping,"{""node"": 5, ""prototyping"": 4}",3
c166,j178,customer support,sales|react|embedded,sales|ux research|teamwork|excel|react|embedded,react|teamwork|sales|excel|ux research|embedded,"{""react"": 5, ""teamwork"": 4, ""sales"": 3, ""excel"": 2, ""ux research"": 1, ""embedded"": 1}",12
c180,j157,network engineer,ux research|sales|networking|c|docker|support,c|ux research|docker,ux research|docker|c,"{""ux research"": 5, ""docker"": 4, ""c"": 3}",1
c105,j169,embedded engineer,marketing|node|android|sql,seo|ux research|python,ux research|python|seo,"{""ux research"": 5, ""python"": 4, ""seo"": 3}",3
c027,j050,customer support,communication|docker,prototyping|networking|java|sales,networking|java|prototyping|sales,"{""networking"": 5, ""java"": 4, ""prototyping"": 3, ""sales"": 2}",6
c020,j017,cybersecurity analyst,marketing|ops|sales|c|java|cloud|crm|sql,communication|security|android|prototyping|react,react|communication|android|security|prototyping,"{""react"": 5, ""communication"": 4, ""android"": 3, ""security"": 2, ""prototyping"": 1}",12
c051,j147,mobile developer,cloud|docker|security,docker|cloud|support|security,docker|cloud|security|support,"{""docker"": 5, ""cloud"": 4, ""security"": 3, ""support"": 2}",7
c106,j070,HR coordinator,figma|marketing|sql|teamwork,prototyping|linux,linux|prototyping,"{""linux"": 5, ""prototyping"": 4}",1
c144,j112,data scientist,linux|teamwork|support|communication|sql|figma|java|ml,security|prototyping|docker|ios|python|accounting,python|ios|accounting|prototyping|docker|security,"{""python"": 5, ""ios"": 4, ""accounting"": 3, ""prototyping"": 2, ""docker"": 1, ""security"": 1}",10
c101,j160,HR coordinator,crm|accounting|teamwork|firewall|support,ux research|ml|figma|sales,sales|ml|figma|ux research,"{""sales"": 5, ""ml"": 4, ""figma"": 3, ""ux research"": 2}",6
c176,j128,network engineer,ops|c|finance|crm,support|ios,support|ios,"{""support"": 5, ""ios"": 4}",0
c176,j083,operations associate,node|communication,accounting|excel|teamwork|c,teamwork|c|accounting|excel,"{""teamwork"": 5, ""c"": 4, ""accounting"": 3, ""excel"": 2}",5
c076,j174,customer support,security|sales|cloud|git,sales|git,sales|git,"{""sales"": 5, ""git"": 4}",4
c021,j051,marketing analyst,accounting|python,docker|python,python|docker,"{""python"": 5, ""docker"": 4}",6
c028,j003,product manager,node|docker|accounting|networking|finance|seo|c,figma|seo|networking|ios,ios|networking|figma|seo,"{""ios"": 5, ""networking"": 4, ""figma"": 3, ""seo"": 2}",4
c184,j065,customer support,ml|finance|ios|communication|excel|crm|react,react|ml|communication|crm|security,security|ml|communication|react|crm,"{""security"": 5, ""ml"": 4, ""communication"": 3, ""react"": 2, ""crm"": 1}",11
c082,j104,network engineer,ux research|embedded|ios|accounting|c,security|embedded,security|embedded,"{""security"": 5, ""embedded"": 4}",10
c114,j022,financial analyst,support|finance|firewall|java|teamwork|accounting|ios|react,teamwork|android|firewall|java,firewall|android|teamwork|java,"{""firewall"": 5, ""android"": 4, ""teamwork"": 3, ""java"": 2}",4
c039,j065,software engineer,firewall|react|seo|sales|python|sql|android|teamwork,python|sales,python|sales,"{""python"": 5, ""sales"": 4}",0
c161,j060,marketing analyst,finance|crm|ios|c,sql|finance,finance|sql,"{""finance"": 5, ""sql"": 4}",1
c003,j028,network engineer,accounting|figma|java|ml|ios,figma|excel|java|ios|ml,java|excel|ml|figma|ios,"{""java"": 5, ""excel"": 4, ""ml"": 3, ""figma"": 2, ""ios"": 1}",2
c200,j045,network engineer,accounting|excel|sql|ops|git|communication|embedded|ml,prototyping|docker|ops|excel,docker|excel|ops|prototyping,"{""docker"": 5, ""excel"": 4, ""ops"": 3, ""prototyping"": 2}",7
c172,j108,software engineer,android|ios|support|ux research,cloud|ux research,ux research|cloud,"{""ux research"": 5, ""cloud"": 4}",11
c009,j182,devops engineer,python|excel|embedded,ios|react|java|communication,react|java|ios|communication,"{""react"": 5, ""java"": 4, ""ios"": 3, ""communication"": 2}",3
c109,j136,embedded engineer,teamwork|figma|java|crm|react,react|java|crm|teamwork,teamwork|java|crm|react,"{""teamwork"": 5, ""java"": 4, ""crm"": 3, ""react"": 2}",5
c022,j054,UI/UX designer,sql|firewall,firewall|sql,sql|firewall,"{""sql"": 5, ""firewall"": 4}",8
c141,j070,network engineer,sales|react|java|ios,java|ml|ios|react|sales,ios|java|ml|sales|react,"{""ios"": 5, ""java"": 4, ""ml"": 3, ""sales"": 2, ""react"": 1}",3
c022,j115,embedded engineer,ios|c|communication|security|git|crm|sql,sales|crm|react|c|git|security,git|crm|c|sales|react|security,"{""git"": 5, ""crm"": 4, ""c"": 3, ""sales"": 2, ""react"": 1, ""security"": 1}",2
c002,j124,devops engineer,ux research|excel,ops|excel|ux research,excel|ux research|ops,"{""excel"": 5, ""ux research"": 4, ""ops"": 3}",2
c022,j100,data analyst,java|finance|seo|firewall|sql|node|ios|docker,marketing|c,marketing|c,"{""marketing"": 5, ""c"": 4}",1
c038,j127,data scientist,support|linux|firewall,linux|firewall|support|java|ml,firewall|java|support|ml|linux,"{""firewall"": 5, ""java"": 4, ""support"": 3, ""ml"": 2, ""linux"": 1}",10
c135,j061,marketing analyst,ml|sql|prototyping|c|linux|embedded,prototyping|ios|ml|c|sql,sql|ml|prototyping|ios|c,"{""sql"": 5, ""ml"": 4, ""prototyping"": 3, ""ios"": 2, ""c"": 1}",3
c112,j151,financial analyst,marketing|excel|ux research|accounting|node|ml,ops|prototyping,ops|prototyping,"{""ops"": 5, ""prototyping"": 4}",0
c131,j029,UI/UX designer,communication|node|cloud|sales|teamwork|sql|crm|marketing,sql|firewall|node|communication,communication|sql|firewall|node,"{""communication"": 5, ""sql"": 4, ""firewall"": 3, ""node"": 2}",9
c101,j112,financial analyst,teamwork|ios,teamwork|seo|accounting,teamwork|accounting|seo,"{""teamwork"": 5, ""accounting"": 4, ""seo"": 3}",0
c125,j149,data scientist,finance|cloud|ios|c,ux research|cloud|c|ios|finance|firewall,c|firewall|ios|cloud|finance|ux research,"{""c"": 5, ""firewall"": 4, ""ios"": 3, ""cloud"": 2, ""finance"": 1, ""ux research"": 1}",2
c003,j197,UI/UX designer,marketing|c|figma|ml,c|firewall|marketing|sql|ml|figma,firewall|ml|marketing|c|sql|figma,"{""firewall"": 5, ""ml"": 4, ""marketing"": 3, ""c"": 2, ""sql"": 1, ""figma"": 1}",5
c004,j193,customer support,sql|ux research|ios,sql|seo|ux research|ios|react,sql|ios|ux research|seo|react,"{""sql"": 5, ""ios"": 4, ""ux research"": 3, ""seo"": 2, ""react"": 1}",10
c007,j045,marketing analyst,ios|seo|embedded|networking|ml,linux|python|node|docker,python|docker|node|linux,"{""python"": 5, ""docker"": 4, ""node"": 3, ""linux"": 2}",5
c152,j099,HR coordinator,python|c|accounting,java|docker|c|accounting|python,c|accounting|java|docker|python,"{""c"": 5, ""accounting"": 4, ""java"": 3, ""docker"": 2, ""python"": 1}",12
c109,j081,software engineer,ml|git,ml|marketing|git|finance|ux research|sql,git|finance|sql|marketing|ux research|ml,"{""git"": 5, ""finance"": 4, ""sql"": 3, ""marketing"": 2, ""ux research"": 1, ""ml"": 1}",3
c081,j182,product manager,support|ux research|docker|networking,ux research|networking,ux research|networking,"{""ux research"": 5, ""networking"": 4}",11
c065,j107,devops engineer,accounting|c|git|ux research,accounting|git|c,accounting|c|git,"{""accounting"": 5, ""c"": 4, ""git"": 3}",5
c119,j142,financial analyst,teamwork|java,cloud|java,java|cloud,"{""java"": 5, ""cloud"": 4}",1
c149,j104,cybersecurity analyst,c|communication|crm|figma|accounting|ml|java|firewall,embedded|figma|crm|c,figma|crm|c|embedded,"{""figma"": 5, ""crm"": 4, ""c"": 3, ""embedded"": 2}",4
c151,j162,mobile developer,communication|git|accounting|node|ux research|security|ios,git|accounting|networking|ux research|ios|node,node|ios|git|ux research|accounting|networking,"{""node"": 5, ""ios"": 4, ""git"": 3, ""ux research"": 2, ""accounting"": 1, ""networking"": 1}",11
c098,j171,operations associate,firewall|ops|c|finance|accounting|communication,excel|embedded|ux research|git|linux|sql,excel|embedded|sql|ux research|linux|git,"{""excel"": 5, ""embedded"": 4, ""sql"": 3, ""ux research"": 2, ""linux"": 1, ""git"": 1}",8
c011,j085,UI/UX designer,sales|java|cloud|python|ios|communication,firewall|figma|finance|security|sql|accounting,figma|firewall|security|sql|finance|accounting,"{""figma"": 5, ""firewall"": 4, ""security"": 3, ""sql"": 2, ""finance"": 1, ""accounting"": 1}",12
c148,j025,network engineer,embedded|ops|node|figma|security|excel,prototyping|ux research|accounting|finance|sales,sales|prototyping|ux research|accounting|finance,"{""sales"": 5, ""prototyping"": 4, ""ux research"": 3, ""accounting"": 2, ""finance"": 1}",10
c130,j106,devops engineer,security|sql|c,c|sql|marketing|security|embedded,marketing|embedded|sql|c|security,"{""marketing"": 5, ""embedded"": 4, ""sql"": 3, ""c"": 2, ""security"": 1}",9
c096,j176,product manager,sales|support|java|embedded|marketing,ops|ux research|react|linux|security,ux research|security|ops|react|linux,"{""ux research"": 5, ""security"": 4, ""ops"": 3, ""react"": 2, ""linux"": 1}",10
c182,j190,cybersecurity analyst,marketing|ios|cloud|support,marketing|prototyping|ios|cloud|figma|support,cloud|ios|prototyping|figma|marketing|support,"{""cloud"": 5, ""ios"": 4, ""prototyping"": 3, ""figma"": 2, ""marketing"": 1, ""support"": 1}",2
c019,j102,marketing analyst,docker|seo|ops|java|support|ux research|networking,seo|marketing|sales|python|embedded|teamwork,sales|teamwork|marketing|embedded|seo|python,"{""sales"": 5, ""teamwork"": 4, ""marketing"": 3, ""embedded"": 2, ""seo"": 1, ""python"": 1}",9
c173,j023,data analyst,embedded|support|ios,ios|java|support|embedded|ops,embedded|java|ios|support|ops,"{""embedded"": 5, ""java"": 4, ""ios"": 3, ""support"": 2, ""ops"": 1}",11
c181,j188,data analyst,networking|linux|git,git|networking|linux|node|cloud,cloud|git|node|linux|networking,"{""cloud"": 5, ""git"": 4, ""node"": 3, ""linux"": 2, ""networking"": 1}",12
c152,j086,data scientist,security|ux research|accounting,accounting|support|ux research|docker|security|node,accounting|support|docker|node|security|ux research,"{""accounting"": 5, ""support"": 4, ""docker"": 3, ""node"": 2, ""security"": 1, ""ux research"": 1}",8
c085,j055,marketing analyst,ux research|accounting|firewall|networking|sql|ml,marketing|seo|support|communication|finance,finance|seo|marketing|communication|support,"{""finance"": 5, ""seo"": 4, ""marketing"": 3, ""communication"": 2, ""support"": 1}",3
c018,j190,financial analyst,react|embedded|ops|teamwork|android|firewall,teamwork|ops|firewall|crm,crm|teamwork|firewall|ops,"{""crm"": 5, ""teamwork"": 4, ""firewall"": 3, ""ops"": 2}",4
c154,j099,data analyst,crm|networking|sql|security|excel,communication|security|excel|networking,security|networking|communication|excel,"{""security"": 5, ""networking"": 4, ""communication"": 3, ""excel"": 2}",5
c168,j003,cybersecurity analyst,networking|firewall|node|ux research|cloud|java,finance|seo|c|python|prototyping|node,c|node|prototyping|python|seo|finance,"{""c"": 5, ""node"": 4, ""prototyping"": 3, ""python"": 2, ""seo"": 1, ""finance"": 1}",12
c095,j105,devops engineer,android|cloud|support|security|sales|java|git|docker,sales|docker|support|crm,sales|crm|support|docker,"{""sales"": 5, ""crm"": 4, ""support"": 3, ""docker"": 2}",3
c173,j007,marketing analyst,marketing|support|ios|docker|prototyping|linux|android,docker|marketing|ios,marketing|docker|ios,"{""marketing"": 5, ""docker"": 4, ""ios"": 3}",0
c124,j024,product manager,teamwork|figma|security|linux|accounting|ios,git|figma|docker,figma|docker|git,"{""figma"": 5, ""docker"": 4, ""git"": 3}",4
c185,j066,embedded engineer,python|node,node|seo|python|linux,seo|linux|node|python,"{""seo"": 5, ""linux"": 4, ""node"": 3, ""python"": 2}",6
c182,j030,mobile developer,sales|react|support|cloud,cloud|finance|networking,cloud|finance|networking,"{""cloud"": 5, ""finance"": 4, ""networking"": 3}",5
c123,j061,network engineer,python|docker|figma,docker|figma|python,figma|docker|python,"{""figma"": 5, ""docker"": 4, ""python"": 3}",6
c023,j154,financial analyst,support|c|android,teamwork|android|prototyping|support|c,c|teamwork|android|support|prototyping,"{""c"": 5, ""teamwork"": 4, ""android"": 3, ""support"": 2, ""prototyping"": 1}",9
c051,j192,HR coordinator,figma|linux|communication|node|docker|seo|sql,ios|excel,excel|ios,"{""excel"": 5, ""ios"": 4}",11
c019,j090,product manager,java|marketing|finance|sql|cloud|ux research|react,docker|crm|sql,sql|crm|docker,"{""sql"": 5, ""crm"": 4, ""docker"": 3}",9
c126,j098,HR coordinator,ios|support|communication|marketing,communication|marketing|ios,marketing|ios|communication,"{""marketing"": 5, ""ios"": 4, ""communication"": 3}",6
c014,j010,HR coordinator,ops|security|react,ml|firewall|networking|security|ops,networking|firewall|ops|ml|security,"{""networking"": 5, ""firewall"": 4, ""ops"": 3, ""ml"": 2, ""security"": 1}",7
c085,j057,operations associate,ux research|embedded|linux,accounting|embedded,embedded|accounting,"{""embedded"": 5, ""accounting"": 4}",8
c136,j018,embedded engineer,python|embedded|support|react|ux research|communication|sql|cloud,figma|cloud|support|react|embedded|git,git|support|figma|embedded|react|cloud,"{""git"": 5, ""support"": 4, ""figma"": 3, ""embedded"": 2, ""react"": 1, ""cloud"": 1}",1
c078,j075,mobile developer,ml|seo|crm|git|android|ios|excel,linux|accounting|crm|react|figma,linux|accounting|react|crm|figma,"{""linux"": 5, ""accounting"": 4, ""react"": 3, ""crm"": 2, ""figma"": 1}",7
c048,j051,marketing analyst,teamwork|ios|python|sql|node,figma|node|embedded,figma|node|embedded,"{""figma"": 5, ""node"": 4, ""embedded"": 3}",5
c149,j136,software engineer,seo|crm|react|ml|prototyping|ios,ml|seo|ios|crm|react,ml|react|seo|ios|crm,"{""ml"": 5, ""react"": 4, ""seo"": 3, ""ios"": 2, ""crm"": 1}",2
c135,j118,customer support,linux|cloud|ios|finance|support,cloud|ios|support,support|cloud|ios,"{""support"": 5, ""cloud"": 4, ""ios"": 3}",7
c071,j164,data analyst,marketing|security|node,linux|marketing|security|android|node,node|linux|marketing|android|security,"{""node"": 5, ""linux"": 4, ""marketing"": 3, ""android"": 2, ""security"": 1}",8
c119,j162,network engineer,communication|seo|ios|ops|prototyping|c,prototyping|ios|seo,prototyping|seo|ios,"{""prototyping"": 5, ""seo"": 4, ""ios"": 3}",9
c067,j188,mobile developer,sql|security|excel|sales|android,ux research|security|cloud|python|java,python|security|cloud|java|ux research,"{""python"": 5, ""security"": 4, ""cloud"": 3, ""java"": 2, ""ux research"": 1}",11
c082,j087,software engineer,react|embedded|prototyping|firewall|sales|excel,networking|cloud|finance|node,finance|networking|cloud|node,"{""finance"": 5, ""networking"": 4, ""cloud"": 3, ""node"": 2}",9
c188,j189,customer support,seo|finance|docker|ux research|node|ml|react,sql|ios|crm,sql|crm|ios,"{""sql"": 5, ""crm"": 4, ""ios"": 3}",5
c159,j014,UI/UX designer,ops|prototyping|support|embedded|git|accounting|finance,prototyping|embedded,prototyping|embedded,"{""prototyping"": 5, ""embedded"": 4}",2
c011,j193,customer support,java|ml|cloud|accounting|android,ml|java|accounting,ml|accounting|java,"{""ml"": 5, ""accounting"": 4, ""java"": 3}",0
c080,j188,customer support,embedded|networking|ios|cloud|python,finance|node|ml|c,node|ml|c|finance,"{""node"": 5, ""ml"": 4, ""c"": 3, ""finance"": 2}",3
c052,j037,devops engineer,java|linux|finance|security|android|ux research,security|sales|finance|java|ux research,finance|sales|security|ux research|java,"{""finance"": 5, ""sales"": 4, ""security"": 3, ""ux research"": 2, ""java"": 1}",10
c125,j124,operations associate,git|java|node|c|figma|ios|embedded,git|java|figma,java|git|figma,"{""java"": 5, ""git"": 4, ""figma"": 3}",5
c099,j142,network engineer,support|communication|security|ops|cloud,firewall|ops|cloud|git,cloud|ops|firewall|git,"{""cloud"": 5, ""ops"": 4, ""firewall"": 3, ""git"": 2}",8
c048,j065,UI/UX designer,marketing|security|ux research|seo|embedded|cloud|accounting|docker,accounting|docker|security|marketing,marketing|docker|security|accounting,"{""marketing"": 5, ""docker"": 4, ""security"": 3, ""accounting"": 2}",2
c022,j103,financial analyst,seo|crm|ios|excel|java|sql|docker|communication,seo|java,seo|java,"{""seo"": 5, ""java"": 4}",0
c018,j073,software engineer,prototyping|seo|c|teamwork|ios,sql|teamwork|ios|seo|c|prototyping,c|seo|sql|teamwork|ios|prototyping,"{""c"": 5, ""seo"": 4, ""sql"": 3, ""teamwork"": 2, ""ios"": 1, ""prototyping"": 1}",1
c121,j142,mobile developer,finance|python|ios|sql|android|ux research|prototyping,ios|android|sql,android|ios|sql,"{""android"": 5, ""ios"": 4, ""sql"": 3}",10
c191,j108,HR coordinator,ios|ml|c|python,seo|finance|firewall|communication,finance|communication|firewall|seo,"{""finance"": 5, ""communication"": 4, ""firewall"": 3, ""seo"": 2}",11
c162,j139,network engineer,prototyping|node,node|c|prototyping,c|prototyping|node,"{""c"": 5, ""prototyping"": 4, ""node"": 3}",9
c148,j083,HR coordinator,communication|python|crm,python|communication|embedded|java,embedded|communication|python|java,"{""embedded"": 5, ""communication"": 4, ""python"": 3, ""java"": 2}",10
c032,j197,software engineer,seo|node,ops|node,node|ops,"{""node"": 5, ""ops"": 4}",4
c056,j104,software engineer,java|accounting|sql|git|android|firewall|ops|sales,finance|android|sql|git|ux research,git|sql|ux research|finance|android,"{""git"": 5, ""sql"": 4, ""ux research"": 3, ""finance"": 2, ""android"": 1}",4
c136,j052,marketing analyst,ops|java|marketing|security|seo,java|marketing,marketing|java,"{""marketing"": 5, ""java"": 4}",10
c182,j046,network engineer,marketing|prototyping|figma,embedded|support|c|crm,c|support|embedded|crm,"{""c"": 5, ""support"": 4, ""embedded"": 3, ""crm"": 2}",7
c171,j039,software engineer,excel|networking|support|embedded|java|prototyping|ios|c,java|support,java|support,"{""java"": 5, ""support"": 4}",2
c070,j107,financial analyst,figma|firewall,security|firewall|git|figma,firewall|security|figma|git,"{""firewall"": 5, ""security"": 4, ""figma"": 3, ""git"": 2}",12
c154,j183,cybersecurity analyst,accounting|figma|linux|communication|sql,accounting|communication|sql|react|figma,figma|accounting|communication|sql|react,"{""figma"": 5, ""accounting"": 4, ""communication"": 3, ""sql"": 2, ""react"": 1}",9
c200,j051,devops engineer,android|git|docker|seo|prototyping,ios|ops|sales|firewall|ux research|python,sales|ops|ux research|python|ios|firewall,"{""sales"": 5, ""ops"": 4, ""ux research"": 3, ""python"": 2, ""ios"": 1, ""firewall"": 1}",7
c126,j097,devops engineer,ux research|node|react,node|ml|react|finance|teamwork,ml|node|react|teamwork|finance,"{""ml"": 5, ""node"": 4, ""react"": 3, ""teamwork"": 2, ""finance"": 1}",2
c048,j126,customer support,embedded|figma|prototyping|support|java|seo,prototyping|java|seo|figma|support|embedded,embedded|figma|seo|support|prototyping|java,"{""embedded"": 5, ""figma"": 4, ""seo"": 3, ""support"": 2, ""prototyping"": 1, ""java"": 1}",6
c051,j188,network engineer,finance|node|ml|ops|ios|figma|communication,figma|finance|teamwork|ios|ops|node,finance|figma|ios|node|teamwork|ops,"{""finance"": 5, ""figma"": 4, ""ios"": 3, ""node"": 2, ""teamwork"": 1, ""ops"": 1}",4
c129,j132,product manager,firewall|support|cloud|android|prototyping|react,embedded|python|prototyping,prototyping|embedded|python,"{""prototyping"": 5, ""embedded"": 4, ""python"": 3}",12
c073,j156,financial analyst,java|security|sales|figma|support|communication|node|docker,c|prototyping|cloud|linux,prototyping|cloud|linux|c,"{""prototyping"": 5, ""cloud"": 4, ""linux"": 3, ""c"": 2}",3
c084,j068,marketing analyst,excel|firewall|support|sales,embedded|prototyping|sql|excel|support|android,excel|embedded|support|sql|android|prototyping,"{""excel"": 5, ""embedded"": 4, ""support"": 3, ""sql"": 2, ""android"": 1, ""prototyping"": 1}",8
c033,j072,embedded engineer,sales|firewall,sales|firewall,sales|firewall,"{""sales"": 5, ""firewall"": 4}",4
c119,j076,operations associate,support|figma|ml|sales|marketing|node|firewall|docker,figma|support|node|cloud|teamwork,cloud|node|support|figma|teamwork,"{""cloud"": 5, ""node"": 4, ""support"": 3, ""figma"": 2, ""teamwork"": 1}",7
c072,j162,data analyst,prototyping|react|crm,ios|react|crm|prototyping,react|ios|crm|prototyping,"{""react"": 5, ""ios"": 4, ""crm"": 3, ""prototyping"": 2}",5
c104,j053,operations associate,finance|sales|networking,java|ux research|c|ops|support,c|java|support|ux research|ops,"{""c"": 5, ""java"": 4, ""support"": 3, ""ux research"": 2, ""ops"": 1}",11
c107,j126,customer support,communication|git|marketing|security|cloud|embedded|support|prototyping,git|communication|sql|finance|security,sql|finance|communication|git|security,"{""sql"": 5, ""finance"": 4, ""communication"": 3, ""git"": 2, ""security"": 1}",1
c023,j048,financial analyst,marketing|ux research,marketing|figma,marketing|figma,"{""marketing"": 5, ""figma"": 4}",12
c037,j175,marketing analyst,communication|react|android|teamwork|firewall|excel|node,firewall|excel|android,android|firewall|excel,"{""android"": 5, ""firewall"": 4, ""excel"": 3}",3
c024,j125,network engineer,networking|docker|sql|seo,sql|python|linux,python|sql|linux,"{""python"": 5, ""sql"": 4, ""linux"": 3}",10
c171,j126,mobile developer,excel|figma|teamwork|sql|python,security|python|java|cloud|communication|excel,java|cloud|communication|excel|security|python,"{""java"": 5, ""cloud"": 4, ""communication"": 3, ""excel"": 2, ""security"": 1, ""python"": 1}",0
