candidate_id,job_id,role,candidate_skills_list,recruiter_priority_list,recruiter_skill_weights_dict,experience_years
c194,j174,embedded engineer,"['embedded', 'ops', 'excel']","['embedded', 'excel', 'ops', 'prototyping']","{'embedded': 5, 'excel': 4, 'ops': 3, 'prototyping': 2}",12
c144,j106,product manager,"['figma', 'sql', 'embedded', 'ux research', 'communication']","['sql', 'ux research', 'embedded']","{'sql': 5, 'ux research': 4, 'embedded': 3}",4
c143,j163,hr coordinator,"['git', 'prototyping', 'support', 'excel', 'linux', 'figma', 'c', 'embedded']","['finance', 'git', 'linux', 'figma']","{'finance': 5, 'git': 4, 'linux': 3, 'figma': 2}",6
c140,j136,product manager,"['accounting', 'firewall', 'ops', 'seo', 'c', 'sql', 'ux research']","['accounting', 'git', 'sql', 'ux research']","{'accounting': 5, 'git': 4, 'sql': 3, 'ux research': 2}",3
c010,j025,data analyst,"['security', 'marketing', 'android', 'excel', 'communication']","['node', 'prototyping']","{'node': 5, 'prototyping': 4}",3
c166,j178,customer support,"['sales', 'react', 'embedded']","['react', 'teamwork', 'sales', 'excel', 'ux research', 'embedded']","{'react': 5, 'teamwork': 4, 'sales': 3, 'excel': 2, 'ux research': 1, 'embedded': 1}",12
c180,j157,network engineer,"['ux research', 'sales', 'networking', 'c', 'docker', 'support']","['ux research', 'docker', 'c']","{'ux research': 5, 'docker': 4, 'c': 3}",1
c105,j169,embedded engineer,"['marketing', 'node', 'android', 'sql']","['ux research', 'python', 'seo']","{'ux research': 5, 'python': 4, 'seo': 3}",3
c027,j050,customer support,"['communication', 'docker']","['networking', 'java', 'prototyping', 'sales']","{'networking': 5, 'java': 4, 'prototyping': 3, 'sales': 2}",6
c020,j017,cybersecurity analyst,"['marketing', 'ops', 'sales', 'c', 'java', 'cloud', 'crm', 'sql']","['react', 'communication', 'android', 'security', 'prototyping']","{'react': 5, 'communication': 4, 'android': 3, 'security': 2, 'prototyping': 1}",12
c051,j147,mobile developer,"['cloud', 'docker', 'security']","['docker', 'cloud', 'security', 'support']","{'docker': 5, 'cloud': 4, 'security': 3, 'support': 2}",7
c106,j070,hr coordinator,"['figma', 'marketing', 'sql', 'teamwork']","['linux', 'prototyping']","{'linux': 5, 'prototyping': 4}",1
c144,j112,data scientist,"['linux', 'teamwork', 'support', 'communication', 'sql', 'figma', 'java', 'ml']","['python', 'ios', 'accounting', 'prototyping', 'docker', 'security']","{'python': 5, 'ios': 4, 'accounting': 3, 'prototyping': 2, 'docker': 1, 'security': 1}",10
c101,j160,hr coordinator,"['crm', 'accounting', 'teamwork', 'firewall', 'support']","['sales', 'ml', 'figma', 'ux research']","{'sales': 5, 'ml': 4, 'figma': 3, 'ux research': 2}",6
c176,j128,network engineer,"['ops', 'c', 'finance', 'crm']","['support', 'ios']","{'support': 5, 'ios': 4}",0
c176,j083,operations associate,"['node', 'communication']","['teamwork', 'c', 'accounting', 'excel']","{'teamwork': 5, 'c': 4, 'accounting': 3, 'excel': 2}",5
c076,j174,customer support,"['security', 'sales', 'cloud', 'git']","['sales', 'git']","{'sales': 5, 'git': 4}",4
c021,j051,marketing analyst,"['accounting', 'python']","['python', 'docker']","{'python': 5, 'docker': 4}",6
c028,j003,product manager,"['node', 'docker', 'accounting', 'networking', 'finance', 'seo', 'c']","['ios', 'networking', 'figma', 'seo']","{'ios': 5, 'networking': 4, 'figma': 3, 'seo': 2}",4
c184,j065,customer support,"['ml', 'finance', 'ios', 'communication', 'excel', 'crm', 'react']","['security', 'ml', 'communication', 'react', 'crm']","{'security': 5, 'ml': 4, 'communication': 3, 'react': 2, 'crm': 1}",11
c082,j104,network engineer,"['ux research', 'embedded', 'ios', 'accounting', 'c']","['security', 'embedded']","{'security': 5, 'embedded': 4}",10
c114,j022,financial analyst,"['support', 'finance', 'firewall', 'java', 'teamwork', 'accounting', 'ios', 'react']","['firewall', 'android', 'teamwork', 'java']","{'firewall': 5, 'android': 4, 'teamwork': 3, 'java': 2}",4
c039,j065,software engineer,"['firewall', 'react', 'seo', 'sales', 'python', 'sql', 'android', 'teamwork']","['python', 'sales']","{'python': 5, 'sales': 4}",0
c161,j060,marketing analyst,"['finance', 'crm', 'ios', 'c']","['finance', 'sql']","{'finance': 5, 'sql': 4}",1
c003,j028,network engineer,"['accounting', 'figma', 'java', 'ml', 'ios']","['java', 'excel', 'ml', 'figma', 'ios']","{'java': 5, 'excel': 4, 'ml': 3, 'figma': 2, 'ios': 1}",2
c200,j045,network engineer,"['accounting', 'excel', 'sql', 'ops', 'git', 'communication', 'embedded', 'ml']","['docker', 'excel', 'ops', 'prototyping']","{'docker': 5, 'excel': 4, 'ops': 3, 'prototyping': 2}",7
c172,j108,software engineer,"['android', 'ios', 'support', 'ux research']","['ux research', 'cloud']","{'ux research': 5, 'cloud': 4}",11
c009,j182,devops engineer,"['python', 'excel', 'embedded']","['react', 'java', 'ios', 'communication']","{'react': 5, 'java': 4, 'ios': 3, 'communication': 2}",3
c109,j136,embedded engineer,"['teamwork', 'figma', 'java', 'crm', 'react']","['teamwork', 'java', 'crm', 'react']","{'teamwork': 5, 'java': 4, 'crm': 3, 'react': 2}",5
c022,j054,ui/ux designer,"['sql', 'firewall']","['sql', 'firewall']","{'sql': 5, 'firewall': 4}",8
c141,j070,network engineer,"['sales', 'react', 'java', 'ios']","['ios', 'java', 'ml', 'sales', 'react']","{'ios': 5, 'java': 4, 'ml': 3, 'sales': 2, 'react': 1}",3
c022,j115,embedded engineer,"['ios', 'c', 'communication', 'security', 'git', 'crm', 'sql']","['git', 'crm', 'c', 'sales', 'react', 'security']","{'git': 5, 'crm': 4, 'c': 3, 'sales': 2, 'react': 1, 'security': 1}",2
c002,j124,devops engineer,"['ux research', 'excel']","['excel', 'ux research', 'ops']","{'excel': 5, 'ux research': 4, 'ops': 3}",2
c022,j100,data analyst,"['java', 'finance', 'seo', 'firewall', 'sql', 'node', 'ios', 'docker']","['marketing', 'c']","{'marketing': 5, 'c': 4}",1
c038,j127,data scientist,"['support', 'linux', 'firewall']","['firewall', 'java', 'support', 'ml', 'linux']","{'firewall': 5, 'java': 4, 'support': 3, 'ml': 2, 'linux': 1}",10
c135,j061,marketing analyst,"['ml', 'sql', 'prototyping', 'c', 'linux', 'embedded']","['sql', 'ml', 'prototyping', 'ios', 'c']","{'sql': 5, 'ml': 4, 'prototyping': 3, 'ios': 2, 'c': 1}",3
c112,j151,financial analyst,"['marketing', 'excel', 'ux research', 'accounting', 'node', 'ml']","['ops', 'prototyping']","{'ops': 5, 'prototyping': 4}",0
c131,j029,ui/ux designer,"['communication', 'node', 'cloud', 'sales', 'teamwork', 'sql', 'crm', 'marketing']","['communication', 'sql', 'firewall', 'node']","{'communication': 5, 'sql': 4, 'firewall': 3, 'node': 2}",9
c101,j112,financial analyst,"['teamwork', 'ios']","['teamwork', 'accounting', 'seo']","{'teamwork': 5, 'accounting': 4, 'seo': 3}",0
c125,j149,data scientist,"['finance', 'cloud', 'ios', 'c']","['c', 'firewall', 'ios', 'cloud', 'finance', 'ux research']","{'c': 5, 'firewall': 4, 'ios': 3, 'cloud': 2, 'finance': 1, 'ux research': 1}",2
c003,j197,ui/ux designer,"['marketing', 'c', 'figma', 'ml']","['firewall', 'ml', 'marketing', 'c', 'sql', 'figma']","{'firewall': 5, 'ml': 4, 'marketing': 3, 'c': 2, 'sql': 1, 'figma': 1}",5
c004,j193,customer support,"['sql', 'ux research', 'ios']","['sql', 'ios', 'ux research', 'seo', 'react']","{'sql': 5, 'ios': 4, 'ux research': 3, 'seo': 2, 'react': 1}",10
c007,j045,marketing analyst,"['ios', 'seo', 'embedded', 'networking', 'ml']","['python', 'docker', 'node', 'linux']","{'python': 5, 'docker': 4, 'node': 3, 'linux': 2}",5
c152,j099,hr coordinator,"['python', 'c', 'accounting']","['c', 'accounting', 'java', 'docker', 'python']","{'c': 5, 'accounting': 4, 'java': 3, 'docker': 2, 'python': 1}",12
c109,j081,software engineer,"['ml', 'git']","['git', 'finance', 'sql', 'marketing', 'ux research', 'ml']","{'git': 5, 'finance': 4, 'sql': 3, 'marketing': 2, 'ux research': 1, 'ml': 1}",3
c081,j182,product manager,"['support', 'ux research', 'docker', 'networking']","['ux research', 'networking']","{'ux research': 5, 'networking': 4}",11
c065,j107,devops engineer,"['accounting', 'c', 'git', 'ux research']","['accounting', 'c', 'git']","{'accounting': 5, 'c': 4, 'git': 3}",5
c119,j142,financial analyst,"['teamwork', 'java']","['java', 'cloud']","{'java': 5, 'cloud': 4}",1
c149,j104,cybersecurity analyst,"['c', 'communication', 'crm', 'figma', 'accounting', 'ml', 'java', 'firewall']","['figma', 'crm', 'c', 'embedded']","{'figma': 5, 'crm': 4, 'c': 3, 'embedded': 2}",4
c151,j162,mobile developer,"['communication', 'git', 'accounting', 'node', 'ux research', 'security', 'ios']","['node', 'ios', 'git', 'ux research', 'accounting', 'networking']","{'node': 5, 'ios': 4, 'git': 3, 'ux research': 2, 'accounting': 1, 'networking': 1}",11
c098,j171,operations associate,"['firewall', 'ops', 'c', 'finance', 'accounting', 'communication']","['excel', 'embedded', 'sql', 'ux research', 'linux', 'git']","{'excel': 5, 'embedded': 4, 'sql': 3, 'ux research': 2, 'linux': 1, 'git': 1}",8
c011,j085,ui/ux designer,"['sales', 'java', 'cloud', 'python', 'ios', 'communication']","['figma', 'firewall', 'security', 'sql', 'finance', 'accounting']","{'figma': 5, 'firewall': 4, 'security': 3, 'sql': 2, 'finance': 1, 'accounting': 1}",12
c148,j025,network engineer,"['embedded', 'ops', 'node', 'figma', 'security', 'excel']","['sales', 'prototyping', 'ux research', 'accounting', 'finance']","{'sales': 5, 'prototyping': 4, 'ux research': 3, 'accounting': 2, 'finance': 1}",10
c130,j106,devops engineer,"['security', 'sql', 'c']","['marketing', 'embedded', 'sql', 'c', 'security']","{'marketing': 5, 'embedded': 4, 'sql': 3, 'c': 2, 'security': 1}",9
c096,j176,product manager,"['sales', 'support', 'java', 'embedded', 'marketing']","['ux research', 'security', 'ops', 'react', 'linux']","{'ux research': 5, 'security': 4, 'ops': 3, 'react': 2, 'linux': 1}",10
c182,j190,cybersecurity analyst,"['marketing', 'ios', 'cloud', 'support']","['cloud', 'ios', 'prototyping', 'figma', 'marketing', 'support']","{'cloud': 5, 'ios': 4, 'prototyping': 3, 'figma': 2, 'marketing': 1, 'support': 1}",2
c019,j102,marketing analyst,"['docker', 'seo', 'ops', 'java', 'support', 'ux research', 'networking']","['sales', 'teamwork', 'marketing', 'embedded', 'seo', 'python']","{'sales': 5, 'teamwork': 4, 'marketing': 3, 'embedded': 2, 'seo': 1, 'python': 1}",9
c173,j023,data analyst,"['embedded', 'support', 'ios']","['embedded', 'java', 'ios', 'support', 'ops']","{'embedded': 5, 'java': 4, 'ios': 3, 'support': 2, 'ops': 1}",11
c181,j188,data analyst,"['networking', 'linux', 'git']","['cloud', 'git', 'node', 'linux', 'networking']","{'cloud': 5, 'git': 4, 'node': 3, 'linux': 2, 'networking': 1}",12
c152,j086,data scientist,"['security', 'ux research', 'accounting']","['accounting', 'support', 'docker', 'node', 'security', 'ux research']","{'accounting': 5, 'support': 4, 'docker': 3, 'node': 2, 'security': 1, 'ux research': 1}",8
c085,j055,marketing analyst,"['ux research', 'accounting', 'firewall', 'networking', 'sql', 'ml']","['finance', 'seo', 'marketing', 'communication', 'support']","{'finance': 5, 'seo': 4, 'marketing': 3, 'communication': 2, 'support': 1}",3
c018,j190,financial analyst,"['react', 'embedded', 'ops', 'teamwork', 'android', 'firewall']","['crm', 'teamwork', 'firewall', 'ops']","{'crm': 5, 'teamwork': 4, 'firewall': 3, 'ops': 2}",4
c154,j099,data analyst,"['crm', 'networking', 'sql', 'security', 'excel']","['security', 'networking', 'communication', 'excel']","{'security': 5, 'networking': 4, 'communication': 3, 'excel': 2}",5
c168,j003,cybersecurity analyst,"['networking', 'firewall', 'node', 'ux research', 'cloud', 'java']","['c', 'node', 'prototyping', 'python', 'seo', 'finance']","{'c': 5, 'node': 4, 'prototyping': 3, 'python': 2, 'seo': 1, 'finance': 1}",12
c095,j105,devops engineer,"['android', 'cloud', 'support', 'security', 'sales', 'java', 'git', 'docker']","['sales', 'crm', 'support', 'docker']","{'sales': 5, 'crm': 4, 'support': 3, 'docker': 2}",3
c173,j007,marketing analyst,"['marketing', 'support', 'ios', 'docker', 'prototyping', 'linux', 'android']","['marketing', 'docker', 'ios']","{'marketing': 5, 'docker': 4, 'ios': 3}",0
c124,j024,product manager,"['teamwork', 'figma', 'security', 'linux', 'accounting', 'ios']","['figma', 'docker', 'git']","{'figma': 5, 'docker': 4, 'git': 3}",4
c185,j066,embedded engineer,"['python', 'node']","['seo', 'linux', 'node', 'python']","{'seo': 5, 'linux': 4, 'node': 3, 'python': 2}",6
c182,j030,mobile developer,"['sales', 'react', 'support', 'cloud']","['cloud', 'finance', 'networking']","{'cloud': 5, 'finance': 4, 'networking': 3}",5
c123,j061,network engineer,"['python', 'docker', 'figma']","['figma', 'docker', 'python']","{'figma': 5, 'docker': 4, 'python': 3}",6
c023,j154,financial analyst,"['support', 'c', 'android']","['c', 'teamwork', 'android', 'support', 'prototyping']","{'c': 5, 'teamwork': 4, 'android': 3, 'support': 2, 'prototyping': 1}",9
c051,j192,hr coordinator,"['figma', 'linux', 'communication', 'node', 'docker', 'seo', 'sql']","['excel', 'ios']","{'excel': 5, 'ios': 4}",11
c019,j090,product manager,"['java', 'marketing', 'finance', 'sql', 'cloud', 'ux research', 'react']","['sql', 'crm', 'docker']","{'sql': 5, 'crm': 4, 'docker': 3}",9
c126,j098,hr coordinator,"['ios', 'support', 'communication', 'marketing']","['marketing', 'ios', 'communication']","{'marketing': 5, 'ios': 4, 'communication': 3}",6
c014,j010,hr coordinator,"['ops', 'security', 'react']","['networking', 'firewall', 'ops', 'ml', 'security']","{'networking': 5, 'firewall': 4, 'ops': 3, 'ml': 2, 'security': 1}",7
c085,j057,operations associate,"['ux research', 'embedded', 'linux']","['embedded', 'accounting']","{'embedded': 5, 'accounting': 4}",8
c136,j018,embedded engineer,"['python', 'embedded', 'support', 'react', 'ux research', 'communication', 'sql', 'cloud']","['git', 'support', 'figma', 'embedded', 'react', 'cloud']","{'git': 5, 'support': 4, 'figma': 3, 'embedded': 2, 'react': 1, 'cloud': 1}",1
c078,j075,mobile developer,"['ml', 'seo', 'crm', 'git', 'android', 'ios', 'excel']","['linux', 'accounting', 'react', 'crm', 'figma']","{'linux': 5, 'accounting': 4, 'react': 3, 'crm': 2, 'figma': 1}",7
c048,j051,marketing analyst,"['teamwork', 'ios', 'python', 'sql', 'node']","['figma', 'node', 'embedded']","{'figma': 5, 'node': 4, 'embedded': 3}",5
c149,j136,software engineer,"['seo', 'crm', 'react', 'ml', 'prototyping', 'ios']","['ml', 'react', 'seo', 'ios', 'crm']","{'ml': 5, 'react': 4, 'seo': 3, 'ios': 2, 'crm': 1}",2
c135,j118,customer support,"['linux', 'cloud', 'ios', 'finance', 'support']","['support', 'cloud', 'ios']","{'support': 5, 'cloud': 4, 'ios': 3}",7
c071,j164,data analyst,"['marketing', 'security', 'node']","['node', 'linux', 'marketing', 'android', 'security']","{'node': 5, 'linux': 4, 'marketing': 3, 'android': 2, 'security': 1}",8
c119,j162,network engineer,"['communication', 'seo', 'ios', 'ops', 'prototyping', 'c']","['prototyping', 'seo', 'ios']","{'prototyping': 5, 'seo': 4, 'ios': 3}",9
c067,j188,mobile developer,"['sql', 'security', 'excel', 'sales', 'android']","['python', 'security', 'cloud', 'java', 'ux research']","{'python': 5, 'security': 4, 'cloud': 3, 'java': 2, 'ux research': 1}",11
c082,j087,software engineer,"['react', 'embedded', 'prototyping', 'firewall', 'sales', 'excel']","['finance', 'networking', 'cloud', 'node']","{'finance': 5, 'networking': 4, 'cloud': 3, 'node': 2}",9
c188,j189,customer support,"['seo', 'finance', 'docker', 'ux research', 'node', 'ml', 'react']","['sql', 'crm', 'ios']","{'sql': 5, 'crm': 4, 'ios': 3}",5
c159,j014,ui/ux designer,"['ops', 'prototyping', 'support', 'embedded', 'git', 'accounting', 'finance']","['prototyping', 'embedded']","{'prototyping': 5, 'embedded': 4}",2
c011,j193,customer support,"['java', 'ml', 'cloud', 'accounting', 'android']","['ml', 'accounting', 'java']","{'ml': 5, 'accounting': 4, 'java': 3}",0
c080,j188,customer support,"['embedded', 'networking', 'ios', 'cloud', 'python']","['node', 'ml', 'c', 'finance']","{'node': 5, 'ml': 4, 'c': 3, 'finance': 2}",3
c052,j037,devops engineer,"['java', 'linux', 'finance', 'security', 'android', 'ux research']","['finance', 'sales', 'security', 'ux research', 'java']","{'finance': 5, 'sales': 4, 'security': 3, 'ux research': 2, 'java': 1}",10
c125,j124,operations associate,"['git', 'java', 'node', 'c', 'figma', 'ios', 'embedded']","['java', 'git', 'figma']","{'java': 5, 'git': 4, 'figma': 3}",5
c099,j142,network engineer,"['support', 'communication', 'security', 'ops', 'cloud']","['cloud', 'ops', 'firewall', 'git']","{'cloud': 5, 'ops': 4, 'firewall': 3, 'git': 2}",8
c048,j065,ui/ux designer,"['marketing', 'security', 'ux research', 'seo', 'embedded', 'cloud', 'accounting', 'docker']","['marketing', 'docker', 'security', 'accounting']","{'marketing': 5, 'docker': 4, 'security': 3, 'accounting': 2}",2
c022,j103,financial analyst,"['seo', 'crm', 'ios', 'excel', 'java', 'sql', 'docker', 'communication']","['seo', 'java']","{'seo': 5, 'java': 4}",0
c018,j073,software engineer,"['prototyping', 'seo', 'c', 'teamwork', 'ios']","['c', 'seo', 'sql', 'teamwork', 'ios', 'prototyping']","{'c': 5, 'seo': 4, 'sql': 3, 'teamwork': 2, 'ios': 1, 'prototyping': 1}",1
c121,j142,mobile developer,"['finance', 'python', 'ios', 'sql', 'android', 'ux research', 'prototyping']","['android', 'ios', 'sql']","{'android': 5, 'ios': 4, 'sql': 3}",10
c191,j108,hr coordinator,"['ios', 'ml', 'c', 'python']","['finance', 'communication', 'firewall', 'seo']","{'finance': 5, 'communication': 4, 'firewall': 3, 'seo': 2}",11
c162,j139,network engineer,"['prototyping', 'node']","['c', 'prototyping', 'node']","{'c': 5, 'prototyping': 4, 'node': 3}",9
c148,j083,hr coordinator,"['communication', 'python', 'crm']","['embedded', 'communication', 'python', 'java']","{'embedded': 5, 'communication': 4, 'python': 3, 'java': 2}",10
c032,j197,software engineer,"['seo', 'node']","['node', 'ops']","{'node': 5, 'ops': 4}",4
c056,j104,software engineer,"['java', 'accounting', 'sql', 'git', 'android', 'firewall', 'ops', 'sales']","['git', 'sql', 'ux research', 'finance', 'android']","{'git': 5, 'sql': 4, 'ux research': 3, 'finance': 2, 'android': 1}",4
c136,j052,marketing analyst,"['ops', 'java', 'marketing', 'security', 'seo']","['marketing', 'java']","{'marketing': 5, 'java': 4}",10
c182,j046,network engineer,"['marketing', 'prototyping', 'figma']","['c', 'support', 'embedded', 'crm']","{'c': 5, 'support': 4, 'embedded': 3, 'crm': 2}",7
c171,j039,software engineer,"['excel', 'networking', 'support', 'embedded', 'java', 'prototyping', 'ios', 'c']","['java', 'support']","{'java': 5, 'support': 4}",2
c070,j107,financial analyst,"['figma', 'firewall']","['firewall', 'security', 'figma', 'git']","{'firewall': 5, 'security': 4, 'figma': 3, 'git': 2}",12
c154,j183,cybersecurity analyst,"['accounting', 'figma', 'linux', 'communication', 'sql']","['figma', 'accounting', 'communication', 'sql', 'react']","{'figma': 5, 'accounting': 4, 'communication': 3, 'sql': 2, 'react': 1}",9
c200,j051,devops engineer,"['android', 'git', 'docker', 'seo', 'prototyping']","['sales', 'ops', 'ux research', 'python', 'ios', 'firewall']","{'sales': 5, 'ops': 4, 'ux research': 3, 'python': 2, 'ios': 1, 'firewall': 1}",7
c126,j097,devops engineer,"['ux research', 'node', 'react']","['ml', 'node', 'react', 'teamwork', 'finance']","{'ml': 5, 'node': 4, 'react': 3, 'teamwork': 2, 'finance': 1}",2
c048,j126,customer support,"['embedded', 'figma', 'prototyping', 'support', 'java', 'seo']","['embedded', 'figma', 'seo', 'support', 'prototyping', 'java']","{'embedded': 5, 'figma': 4, 'seo': 3, 'support': 2, 'prototyping': 1, 'java': 1}",6
c051,j188,network engineer,"['finance', 'node', 'ml', 'ops', 'ios', 'figma', 'communication']","['finance', 'figma', 'ios', 'node', 'teamwork', 'ops']","{'finance': 5, 'figma': 4, 'ios': 3, 'node': 2, 'teamwork': 1, 'ops': 1}",4
c129,j132,product manager,"['firewall', 'support', 'cloud', 'android', 'prototyping', 'react']","['prototyping', 'embedded', 'python']","{'prototyping': 5, 'embedded': 4, 'python': 3}",12
c073,j156,financial analyst,"['java', 'security', 'sales', 'figma', 'support', 'communication', 'node', 'docker']","['prototyping', 'cloud', 'linux', 'c']","{'prototyping': 5, 'cloud': 4, 'linux': 3, 'c': 2}",3
c084,j068,marketing analyst,"['excel', 'firewall', 'support', 'sales']","['excel', 'embedded', 'support', 'sql', 'android', 'prototyping']","{'excel': 5, 'embedded': 4, 'support': 3, 'sql': 2, 'android': 1, 'prototyping': 1}",8
c033,j072,embedded engineer,"['sales', 'firewall']","['sales', 'firewall']","{'sales': 5, 'firewall': 4}",4
c119,j076,operations associate,"['support', 'figma', 'ml', 'sales', 'marketing', 'node', 'firewall', 'docker']","['cloud', 'node', 'support', 'figma', 'teamwork']","{'cloud': 5, 'node': 4, 'support': 3, 'figma': 2, 'teamwork': 1}",7
c072,j162,data analyst,"['prototyping', 'react', 'crm']","['react', 'ios', 'crm', 'prototyping']","{'react': 5, 'ios': 4, 'crm': 3, 'prototyping': 2}",5
c104,j053,operations associate,"['finance', 'sales', 'networking']","['c', 'java', 'support', 'ux research', 'ops']","{'c': 5, 'java': 4, 'support': 3, 'ux research': 2, 'ops': 1}",11
c107,j126,customer support,"['communication', 'git', 'marketing', 'security', 'cloud', 'embedded', 'support', 'prototyping']","['sql', 'finance', 'communication', 'git', 'security']","{'sql': 5, 'finance': 4, 'communication': 3, 'git': 2, 'security': 1}",1
c023,j048,financial analyst,"['marketing', 'ux research']","['marketing', 'figma']","{'marketing': 5, 'figma': 4}",12
